3627 Felicia :  rat .. lol
3634 Felicia :  shit .. omg ..lol
3643 Felicia :  you little shit ..;-:P
3659 Nella *  entered the room.
3663 Gale :  snitch is a rat
3668 Chanel *  entered the room.
3670 Will :  no you
3678 Jaymie :  Felicia: "denounce" and "snitch" map out two very distant points on the formality spectrum.
3688 Chanel :  how can I limit the speed of my internet connection to say, 100 KB/s ?
3691 Malia *  entered the room.
3694 Delmer *  left the room (quit: Remote closed the connection).
3701 Felicia :  tell it to manpages Jaymie ;-)
3704 Jaymie :  Felicia: (but I guess snitch has to be "snitch on" it's to mean denounce)
3706 Chanel :  something with "iptables" ?
3718 Gale :  snitch is someone who's a rat
3724 Gale :  informant
3729 Felicia :  Chanel: use Dialup
3729 Alice *  left the room (quit: Client Quit).
3730 Gale :  capo
3732 Gale :  etc
3734 Nilsa *  left the room (quit: "A cow. A trampoline. Together, they fight crime.").
3739 Chanel :  Felicia: hahaha :P
3742 Ahmad *  entered the room.
3749 Jaymie :  Felicia: (I just meant it's a nice pair of words, not anything more.)
3750 Evita *  entered the room.
3751 Chanel :  Felicia: no I can't I have a weird modem
3776 Felicia :  i'dnever thought i'd hear ppl asking such insane questions .. when so many others would kill for faster interent
3793 Katherine *  entered the room.
3796 Jeanice *  entered the room.
3805 Gale :  he's a very considerate broadband user
3809 Gale :  his ISP must love him
3826 Laurena :  does anyone here shave their head
3828 Felicia :  Chanel: though load balancing and such do have their rightful places
3828 Matha *  entered the room.
3828 Jaymie :  perspective makes the difference between a whistleblower and a snitch.
3831 Cory *  left the room (quit: Read error: 110 (Connection timed out)).
3841 Jeanice :  Laurena: i shave part of my head
3849 Caroll *  left the room (quit: Read error: 104 (Connection reset by peer)).
3857 Evita *  left the room.
3862 Jesse :  Jeanice: a tonsure? ;)
3869 Chanel :  Felicia: come on, please!
3871 Rea *  entered the room.
3873 Gale :  a snitch is much worse than a whistleblower
3875 Felicia :  Gale: i wonder if they give you some Cash back like the Utilities do when your meter spins backwards  from your Solar panel PVs
3876 Lilliana :  PoNg
3876 Rea :  hi
3878 Chanel :  Felicia: my friend and I share same connection
3880 Arlie :  metro sexual geeks .... its the end of the world
3887 Jeanice :  Jesse: nope, i only shave the chin
3892 Chanel :  Felicia: that's why we need balancing
3896 Felicia :  Chanel: i don't know off hand sorry
3901 Cory *  entered the room.
3903 Agatha *  entered the room.
3907 Chanel :  Felicia: no problem ;)
3920 Rea :  does anyone knows what is a domain-key signature ? and how can i make one ? where can i put to work ....
3927 Agatha :  Hey guys, i think the proxy im using has been banned of a few channels, how do i get it unbanned?
3928 Gale :  if anything a whistleblower isn't necessarily something bad -- it might be someone that exposes say a factory that illegally puts their workers in danger
3939 Felicia :  Chanel: there's a certain networking keyword you need to use in a google, can't recall though what it's called precisely .. not bigding .. maybe throttling
3955 Felicia :  er s/bigding/bridging
3960 Arlie :  Gale, which risks everyones paycheck, which is bad
3961 Lilliana :  PoNg
3967 Felicia :  Lilliana: your a bigding!
3968 Gale :  Arlie: not really
3972 Rachel :  Gale: How can you say that!
3972 Lilliana :  PoNg
3973 Chanel :  Felicia: google works :)
3985 Gale :  Arlie: you guys have never worked in a factory before have you
3991 Rachel :  Lilliana: turn that off. Now.
3994 Chanel :  Felicia: "linux badwidth limiting"
3994 Gale :  Arlie: there's some real unethical stuff that goes on
3997 Regine *  hands Chanel a trophy
4001 Chanel :  s/bandwidth
4005 Arlie :  Gale, of course ... thats how they make money
4006 Lilliana :  PoNg
4010 Gale :  and people lose limbs or get killed
4012 Felicia :  excellent
4013 Arlie :  Lilliana, stop it
4018 Phillip *  left the room (quit: ).
4022 Tyra *  entered the room.
4023 Rachel :  !ops Lilliana spamming bot.
4026 Arlie :  Gale, they fire people with no arms and get another one
4027 Lilliana :  PoNg
4029 Felicia :  !ops kill Lilliana .. spamming Bot is he
4037 Gregg :  ya ya we're here
4039 Gregg :  once is enough
4051 Gregg :  ping
4052 Lilliana :  PoNg
